run_id,model,family,params_b,setting,task,prompt_tier,metric_name,metric_value,n_examples,seed
20260701_220450_falcon_h1_15b_deep_E0-REF_nq_open_dev_P1,falcon_h1_15b_deep,Falcon-H1,1.5,E0-REF,nq_open,P1,em,2.148,200,42
20260701_231933_falcon_h1_15b_deep_E0-REF_nq_open_dev_P2,falcon_h1_15b_deep,Falcon-H1,1.5,E0-REF,nq_open,P2,em,2.1957,200,42
20260702_004030_falcon_h1_15b_deep_E0-REF_nq_open_dev_P3,falcon_h1_15b_deep,Falcon-H1,1.5,E0-REF,nq_open,P3,em,2.0924,200,42
20260630_231737_falcon_h1_15b_deep_E0-REF_squad_v2_dev,falcon_h1_15b_deep,Falcon-H1,1.5,E0-REF,squad_v2,P0,em,60.8794,200,42
20260701_220445_falcon_h1_15b_deep_E0-REF_squad_v2_dev_P1,falcon_h1_15b_deep,Falcon-H1,1.5,E0-REF,squad_v2,P1,em,17.7856,200,42
20260701_231832_falcon_h1_15b_deep_E0-REF_squad_v2_dev_P2,falcon_h1_15b_deep,Falcon-H1,1.5,E0-REF,squad_v2,P2,em,5.4632,200,42
20260702_003820_falcon_h1_15b_deep_E0-REF_squad_v2_dev_P3,falcon_h1_15b_deep,Falcon-H1,1.5,E0-REF,squad_v2,P3,em,5.1787,200,42
20260630_230656_falcon_h1_15b_deep_E0-REF_truthfulqa_mc1_dev,falcon_h1_15b_deep,Falcon-H1,1.5,E0-REF,truthfulqa_mc1,P0,acc,63.5,200,42
20260701_220627_falcon_h1_15b_deep_E0-REF_truthfulqa_mc1_dev_P1,falcon_h1_15b_deep,Falcon-H1,1.5,E0-REF,truthfulqa_mc1,P1,acc,67.0,200,42
20260701_234209_falcon_h1_15b_deep_E0-REF_truthfulqa_mc1_dev_P2,falcon_h1_15b_deep,Falcon-H1,1.5,E0-REF,truthfulqa_mc1,P2,acc,60.5,200,42
20260702_004221_falcon_h1_15b_deep_E0-REF_truthfulqa_mc1_dev_P3,falcon_h1_15b_deep,Falcon-H1,1.5,E0-REF,truthfulqa_mc1,P3,acc,60.5,200,42
20260701_052509_falcon_h1_15b_deep_E1-INT8_halueval_general_dev,falcon_h1_15b_deep,Falcon-H1,1.5,E1-INT8,halueval_general,P0,acc,79.5,200,42
20260701_052509_falcon_h1_15b_deep_E1-INT8_halueval_qa_dev,falcon_h1_15b_deep,Falcon-H1,1.5,E1-INT8,halueval_qa,P0,acc,48.0,200,42
20260701_000845_falcon_h1_15b_deep_E1-INT8_nq_open_dev,falcon_h1_15b_deep,Falcon-H1,1.5,E1-INT8,nq_open,P0,em,13.1247,200,42
20260702_113334_falcon_h1_15b_deep_E1-INT8_nq_open_dev_P1,falcon_h1_15b_deep,Falcon-H1,1.5,E1-INT8,nq_open,P1,em,1.9699,200,42
20260702_113858_falcon_h1_15b_deep_E1-INT8_nq_open_dev_P2,falcon_h1_15b_deep,Falcon-H1,1.5,E1-INT8,nq_open,P2,em,2.1052,200,42
