task,run_id,model_key,setting,prompt_tier,dataset,split,num_examples,primary_metric_name,primary_metric,exact_match,f1,prompt_acc,instr_acc,mtbench_score,instruction_level_acc,has_ans_exact_match,has_ans_f1,no_ans_exact_match,no_ans_f1,valid_scores,empty_responses,latency_ms_mean,decode_chars_per_s_mean,judge_model
task_eval,20260630_225735_smollm2_360m_E1-INT8_nq_open_dev,smollm2_360m,E1-INT8,P0,nq_open,dev,200,f1,0.062309123591979626,0.0,0.062309123591979626,,,,,,,,,,,2435.35467506852,34.14537294478999,
task_eval,20260630_225735_smollm2_360m_E1-INT8_truthfulqa_mc1_dev,smollm2_360m,E1-INT8,P0,truthfulqa_mc1,dev,200,f1,0.23,0.23,0.23,,,,,,,,,,,1420.52235872834,31.81733967938583,
task_eval,20260630_225753_falcon_h1_tiny_r_06b_E0-REF_halueval_qa_dev,falcon_h1_tiny_r_06b,E0-REF,P0,halueval_qa,dev,200,f1,0.0,0.0,0.0,,,,,,,,,,,9508.888119185576,53.108466178711694,
task_eval,20260630_225754_falcon_h1_tiny_r_06b_E0-REF_halueval_general_dev,falcon_h1_tiny_r_06b,E0-REF,P0,halueval_general,dev,200,f1,0.0,0.0,0.0,,,,,,,,,,,9553.147388934158,51.60956948803486,
task_eval,20260630_225758_gemma3_1b_E0-REF_squad_v2_dev,gemma3_1b,E0-REF,P0,squad_v2,dev,200,f1,0.4075521087571477,0.295,0.4075521087571477,,,,,0.3465346534653465,0.5694101163507875,0.24242424242424243,0.24242424242424243,,,459.25274587236345,92.96885255556109,
task_eval,20260630_225809_tinyllama_11b_E0-REF_truthfulqa_mc1_dev,tinyllama_11b,E0-REF,P0,truthfulqa_mc1,dev,200,f1,0.2,0.2,0.2,,,,,,,,,,,455.6357219093479,176.13337622187174,
task_eval,20260630_225816_tinyllama_11b_E0-REF_halueval_qa_dev,tinyllama_11b,E0-REF,P0,halueval_qa,dev,200,f1,0.05,0.05,0.05,,,,,,,,,,,2410.4393266607076,204.66493177790048,
task_eval,20260630_225931_tinyllama_11b_E0-REF_halueval_general_dev,tinyllama_11b,E0-REF,P0,halueval_general,dev,200,f1,0.095,0.095,0.095,,,,,,,,,,,2160.6675339420326,221.64167155690012,
task_eval,20260630_230001_falcon_h1_15b_E0-REF_nq_open_dev,falcon_h1_15b,E0-REF,P0,nq_open,dev,200,f1,0.07356638081798543,0.01,0.07356638081798543,,,,,,,,,,,1024.6492063335609,67.40743894659013,
task_eval,20260630_230001_falcon_h1_15b_E0-REF_squad_v2_dev,falcon_h1_15b,E0-REF,P0,squad_v2,dev,200,f1,0.4968225314741616,0.39,0.4968225314741616,,,,,0.4752475247524752,0.6811122611389387,0.30303030303030304,0.3088097769676717,,,958.1254208728205,52.93944684113288,
task_eval,20260630_230236_smollm2_360m_E1-INT8_halueval_qa_dev,smollm2_360m,E1-INT8,P0,halueval_qa,dev,200,f1,0.54,0.54,0.54,,,,,,,,,,,314.6861353330314,11.479341354462697,
task_eval,20260630_230248_gemma3_1b_E2-Q8_nq_open_dev,gemma3_1b,E2-Q8,P0,nq_open,dev,200,f1,0.035917149199724274,0.0,0.035917149199724274,,,,,,,,,,,26099.922216744162,8.460570987077604,
task_eval,20260630_230326_falcon_h1_15b_E0-REF_halueval_qa_dev,falcon_h1_15b,E0-REF,P0,halueval_qa,dev,200,f1,0.44,0.44,0.44,,,,,,,,,,,2471.3361826748587,44.73508304645982,
task_eval,20260630_230338_falcon_h1_15b_E0-REF_halueval_general_dev,falcon_h1_15b,E0-REF,P0,halueval_general,dev,200,f1,0.505,0.505,0.505,,,,,,,,,,,3788.5046234179754,99.04711888771493,
